aac_2,aac_3,aac_13,dipep_31,dipep_48,dipep_191,dipep_211,dipep_280,pseudo_1,pseudo_2,pseudo_3,pseudo_4,pseudo_6,pseudo_7,pseudo_9,pseudo_10,pseudo_11,pseudo_13,pseudo_14,pseudo_15,pseudo_16,pseudo_20,comp_16,tran_18,dist_1,dist_2,dist_3,dist_10,dist_16,dist_17,dist_18,dist_29,dist_40,dist_47,dist_62,dist_72,dist_75,dist_76,dist_77,dist_78,dist_91,dist_93,ss_1,ss_5,Output
0.052631579,0.052631579,0,0,0.055555556,0,0,0,0,0.524838814,0.524838814,0.524838814,0,0.524838814,0,0,0,0,1.574516441,0.524838814,1.049677628,0.524838814,15.78947368,0.388888889,10.52631579,21.05263158,5.263157895,78.94736842,5.263157895,15.78947368,10.52631579,89.47368421,63.15789474,5.263157895,5.263157895,78.94736842,78.94736842,10.52631579,5.263157895,21.05263158,5.263157895,21.05263158,0,0.263157895,1
0,0.105263158,0,0,0.055555556,0,0,0,0.572017578,0,1.144035155,0.572017578,0,0,0,0,0.572017578,0,0,0.572017578,1.716052733,0,15.78947368,0.444444444,15.78947368,10.52631579,5.263157895,89.47368421,5.263157895,15.78947368,36.84210526,89.47368421,52.63157895,5.263157895,5.263157895,78.94736842,78.94736842,10.52631579,5.263157895,15.78947368,5.263157895,21.05263158,0,0.210526316,1
0,0,0,0,0,0,0,0,0,0,0,0,0.687078291,0,0,0.687078291,1.374156583,0,0.687078291,0.687078291,0.687078291,0.687078291,15,0.105263158,85,10,5,85,5,25,15,95,70,5,5,85,85,25,5,30,5,10,0,0.2,1
0,0,0,0,0,0,0,0,0.564116648,0,0,0,0.564116648,0,0.564116648,1.128233296,0,0,1.128233296,1.128233296,0.564116648,1.128233296,14.28571429,0.5,38.0952381,4.761904762,28.57142857,38.0952381,4.761904762,28.57142857,23.80952381,80.95238095,80.95238095,28.57142857,4.761904762,38.0952381,38.0952381,14.28571429,28.57142857,4.761904762,4.761904762,23.80952381,0,0.238095238,1
0,0.045454545,0,0,0,0,0,0,1.180988525,0,0.590494263,0,0,0,0,1.180988525,0,0,1.180988525,0.590494263,1.771482788,0,18.18181818,0.285714286,18.18181818,9.090909091,4.545454545,59.09090909,9.090909091,4.545454545,18.18181818,81.81818182,77.27272727,4.545454545,4.545454545,0,0,9.090909091,4.545454545,13.63636364,4.545454545,13.63636364,0,0.136363636,1
0,0.125,0.041666667,0,0.043478261,0,0,0,0,0,1.773547853,0,0.591182618,0.591182618,0.591182618,0.591182618,1.182365235,0.591182618,1.182365235,0,0.591182618,0.591182618,29.16666667,0.173913043,8.333333333,4.166666667,16.66666667,54.16666667,4.166666667,8.333333333,25,83.33333333,83.33333333,8.333333333,4.166666667,45.83333333,45.83333333,20.83333333,16.66666667,4.166666667,4.166666667,29.16666667,0.063405797,0.25,1
0.041666667,0.041666667,0,0,0.043478261,0,0,0,2.624920757,0.524984151,0.524984151,0,0,0.524984151,0.524984151,0.524984151,0,0,0,0.524984151,1.574952454,1.049968303,37.5,0.173913043,8.333333333,4.166666667,20.83333333,45.83333333,4.166666667,8.333333333,16.66666667,87.5,50,8.333333333,4.166666667,0,0,16.66666667,20.83333333,4.166666667,4.166666667,12.5,0.018115942,0.208333333,1
0.074074074,0.074074074,0.037037037,0,0,0,0,0.038461538,0,0.965023011,0.965023011,0,0.482511506,0.965023011,0.482511506,0,0,0.482511506,0.482511506,0.482511506,0.965023011,1.930046022,25.92592593,0.230769231,3.703703704,22.22222222,11.11111111,59.25925926,22.22222222,3.703703704,7.407407407,85.18518519,74.07407407,3.703703704,3.703703704,51.85185185,51.85185185,7.407407407,11.11111111,3.703703704,11.11111111,33.33333333,0,0.222222222,1
0,0.076923077,0,0,0,0,0,0.04,1.13598668,0,1.13598668,0,0.56799334,0,1.13598668,0.56799334,1.13598668,0,1.13598668,0,1.13598668,0.56799334,34.61538462,0.16,7.692307692,3.846153846,19.23076923,26.92307692,3.846153846,11.53846154,7.692307692,80.76923077,76.92307692,11.53846154,3.846153846,46.15384615,46.15384615,7.692307692,19.23076923,3.846153846,3.846153846,30.76923077,0.215384615,0.230769231,1
0,0.074074074,0,0,0,0,0,0.038461538,0,0,1.142206649,0,0.571103324,0,1.142206649,1.713309973,0,0,1.142206649,0,2.284413297,1.713309973,14.81481481,0.269230769,3.703703704,7.407407407,22.22222222,62.96296296,7.407407407,22.22222222,3.703703704,81.48148148,81.48148148,22.22222222,7.407407407,48.14814815,48.14814815,3.703703704,22.22222222,7.407407407,7.407407407,14.81481481,0,0.185185185,1
